X,Y,objectid,provincia,municipio,localidad,código_postal,dirección,margen,longitud,latitud,precio_gasolina_95,precio_gasóleo_a,precio_gasóleo_b,precio_bioetanol,precio_nuevo_gasóleo_a,precio_biodiesel,f__éster_metílico,f__bioalcohol,precio_gasolina_98,precio_gas_natural_comprimido,precio_gas_natural_licuado,precio_gases_licuados_del_petr,rótulo,tipo_venta,rem_,horario,horario00,z,fecha
-1.752694,43.335806,828721,GUIPÚZCOA,IRUN,IRUN,20305,"CARRETERA N-121 A KM. 76,4",D,-1.752694,43.335806,1.269,1.155,,,1.229,,,,,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.796417,43.336611,828722,GUIPÚZCOA,IRUN,IRUN,20303,"AVENIDA ELIZATXO, 8",N,-1.796417,43.336611,1.279,1.119,,,1.189,,,,1.399,,,,ELIZATXO-SHELL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.766167,43.3375,828723,GUIPÚZCOA,IRUN,IRUN,20305,ANTXOTXIPI Nº 17 - ZAISA III,D,-1.766167,43.3375,,1.109,,,,,,,,,,,SACYTRANS,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.768694,43.337278,828724,GUIPÚZCOA,IRUN,IRUN,20305,"CALLE ANTXOTXIPI, 10    ZAISA III, 10",D,-1.768694,43.337278,,1.135,,,,,,,,,,,GACELA,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.75275,43.3365,828725,GUIPÚZCOA,IRUN,IRUN,20305,"CALLE COMETE SAREA (ZAISA II), 7",N,-1.75275,43.3365,,1.149,,,,,,,,,,,ZABALETA,P,dm,"L-V: 24H; S: 06:00-22:00; D: 14:30-00:00","L-V: 24H; S: 06:00-22:00; D: 14:30-00:00",,2017-04-15T00:00:00.000Z
-1.834722,43.322583,828726,GUIPÚZCOA,IRUN,IRUN,20305,"PARQUE COMERCIAL TXINGUDI, ZONA ARASO.B. VENTAS, 80",N,-1.834722,43.322583,1.149,1.019,,,1.079,,,,1.288,,,,ALCAMPO IRUN,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-1.78225,43.339306,828727,GUIPÚZCOA,IRUN,IRUN,20304,"AVENIDA NAVARRA, 18",N,-1.78225,43.339306,1.239,1.109,,1.345,1.199,,,,1.359,,,,AVIA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00,,2017-04-15T00:00:00.000Z
-2.163667,43.065889,828728,GUIPÚZCOA,ITSASONDO,ITSASONDO,20249,"CR N-1, 423,3",D,-2.163667,43.065889,1.285,1.169,,,1.239,,,,1.385,,,,CAMPSA,P,OM,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
-2.021972,43.252778,828729,GUIPÚZCOA,LASARTE-ORIA,LASARTE,20160,"AUTOVIA N-1 KM. 451,000",D,-2.021972,43.252778,1.255,1.145,,,1.215,,,,1.375,,,,REPSOL,P,dm,L-D: 05:30-23:00,L-D: 05:30-23:00,,2017-04-15T00:00:00.000Z
-2.019028,43.257333,828730,GUIPÚZCOA,LASARTE-ORIA,LASARTE,20160,"CL CIRCUITO IBILBIDEA, 8 (N-1 km 455)",I,-2.019028,43.257333,1.249,1.119,,,1.189,,,,1.359,,,,REPSOL,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30,,2017-04-15T00:00:00.000Z
-2.188333,43.041944,828731,GUIPÚZCOA,LAZKAO,LAZKAO,20210,GI-120 km 65,N,-2.188333,43.041944,1.249,1.145,,,1.189,1.145,,,1.389,,,,AVIA,P,dm,L-D: 06:30-22:30,L-D: 06:30-22:30,,2017-04-15T00:00:00.000Z
-2.332194,43.034694,828732,GUIPÚZCOA,LEGAZPI,LEGAZPI,20230,"CALLE BIKUÑA, S/N",D,-2.332194,43.034694,,1.133,,,1.193,,,,,,,,CEPSA,P,dm,"L-S: 08:00-21:00; D: 08:00-14:30","L-S: 08:00-21:00; D: 08:00-14:30",,2017-04-15T00:00:00.000Z
-2.156194,43.078861,828733,GUIPÚZCOA,LEGORRETA,LEGORRETA,20250,CARRETERA NACIONAL 1 KM. 425,I,-2.156194,43.078861,1.249,1.119,0.799,,1.189,,,,1.359,,,,REPSOL,P,dm,L-D: 24H,L-D: 24H,,2017-04-15T00:00:00.000Z
