localidad;código_postal;dirección;precio_gasolina_95;precio_gasóleo_a;precio_gasóleo_b;precio_gasolina_98;rótulo;fecha
VILLAHERMOSA;13332;AVENIDA CASTILLA LA MANCHA, 11;1199;1099;699;0;CHM;21
VILLANUEVA DE LA FUENTE;13330;CM 412 km 15408;1199;1099;789;0;LIBRE;21
VILLANUEVA LOS INFANTES;13320;CALLE PIOXII, 93;1029;1017;820;1041;REPSOL;21
VILLANUEVA LOS INFANTES;13320;CALLE GUARDIA CIVIL, S/N;1017;1004;650;0;NTRA0 SRA0 ANTIGUA;21
VILLANUEVA LOS INFANTES;13320;CR CR-604, 1,4;1299;1169;826;1409;CAMPSA;21
VILLANUEVA DE SAN CARLOS;13379;CR CR-504, 18,2;1305;1179;808;0;PETRONOR;21
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CARRETERA DE FUENTE EL FRESNO KM 15 KM0 15;1289;1159;709;0;AVIA;21
VILLARRUBIA DE LOS OJOS;13670;PASEO DEL CORDON 104 (CM 4120 km 16,700);1289;1159;709;1429;VILLA RUBEUM,S0L0;21
VILLARRUBIA DE LOS OJOS;13670;CARRETERA CR-201 KM0 17;0;1095;695;0;EL RUBIAL SOC0 COOP0;21
VILLARTA DE SAN JUAN;13210;CERVANTES, 96;0;1007;650;0;NINGUNO;21
VILLARTA DE SAN JUAN;13210;AUTOVIA A-4 KM0 145,330;1299;1169;0;1419;TARAY;21
VILLARTA DE SAN JUAN;13210;CALLE CERVANTES, 104;1299;1175;836;1423;REPSOL;21
VISO DEL MARQUES;13770;CARRETERA CM-4111 KM0 64;1299;1169;815;0;REPSOL;21
VISO DEL MARQUES;13770;AVENIDA DE BURJASOT, S/N;0;1125;669;0;VIRGEN DEL VALLE;21
ABENOJAR;13180;CTRA.CM-4.110 km 26,000;1297;1177;796;1377;GALP;19
AGUDO;13410;CR N-502, 32,8;1299;1179;0;0;PETRONOR;19
ALAMILLO;13413;AVDA. LIBERTAD, S/N (CM-4202 km 8);0;1169;0;0;MARIO;19
ALCAZAR DE SAN JUAN;13600;CARRETERA N-420 KM. 284,227;1284;1129;0;1339;CARREFOUR;19
ALCAZAR DE SAN JUAN;13600;CR N-420, 284,7;1305;1179;0;1435;REPSOL;19
ALCAZAR DE SAN JUAN;13600;CL AVENIDA DE HERENCIA S.N.;1305;1179;0;0;CAMPSA;19
ALCAZAR DE SAN JUAN;13600;CALLE ALAMEDA, 5;1188;1058;0;0;U.S. LA LUNA;19
ALCAZAR DE SAN JUAN;13600;VÍA PG RESID ALCES, 1;1245;1105;0;0;MACMAOIL;19
ALCAZAR DE SAN JUAN;13600;CTRA. N-420 km 286.6;1299;1179;814;1439;CEPSA;19
CINCO CASAS;13720;CARRETERA ARGAMASILLA DE ALBA-CINCO CASAS KM. 17;1219;1099;689;0;CERFAS-OIL;19
ALAMEDA DE CERVERA;13690;ESTRADA CM-42, 106/108;1309;1184;804;0;CEPSA;19
ALCUBILLAS;13391;CALLE REAL, S/N;1289;1169;799;0;CEPSA;19
ALDEA DEL REY;13380;CARRETERA ARGAMASILLA-ALMURADIEL KM. 23,2;1299;1179;0;1439;REPSOL;19
ALMADEN;13400;AVENIDA RAMON Y CAJAL, 61;1303;1186;796;1424;CEPSA;19
ALMADEN;13400;POLIGONO POZO DE LAS NIEVES, 12;1309;1179;0;1415;HGOIL;19
ALMAGRO;13270;CL RONDA SANTO DOMINGO, 3;1305;1189;0;0;REPSOL;19
ALMAGRO;13270;CALLE EJIDO DE SAN JUAN, 0;1299;1184;0;1414;CEPSA;19
ALMEDINA;13328;CARRETERA PUEBLA DEL PRINCIPE KM. 1;1179;1002;659;0;E.S. SAN GREGORIO;19
ALMODOVAR DEL CAMPO;13580;CARRETERA CM 4110 KM. 6;1305;1189;0;1445;REPSOL;19
ALMURADIEL;13760;AUTOVIA N-IV KM. 232;1319;1195;0;1419;REPSOL;19
ALMURADIEL;13760;AUTOVIA N-4 KM. 232;1319;1195;0;1419;REPSOL;19
ARENALES DE SAN GREGORIO;13610;POLIGONO RIO CORCOLES PARCELA 1.1, S/N;1319;1199;0;0;LOPEZ SIERRA EE.SS;19
ARENAS DE SAN JUAN;13679;N-420 km 252,1;1319;1199;0;0;REPSOL;19
ARGAMASILLA DE ALBA;13710;CR N-310, 85,1 (N-310 km 85,18);1305;1169;0;1415;REPSOL;19
ARGAMASILLA DE ALBA;13710;CARRETERA NACIONAL 310, KM. 82,500;1305;1169;0;1415;REPSOL;19
ARGAMASILLA DE CALATRAVA;13440;CARRETERA CR-506 KM. 3,300;1305;1189;0;1445;REPSOL;19
ARGAMASILLA DE CALATRAVA;13440;POLIGONO MANZANARES, 6;1259;1099;0;0;GASOLEOSJUCO;19
BOLAÑOS DE CALATRAVA;13260;CARRETERA DAIMIEL KM. 23;1299;1186;809;0;CEPSA;19
BOLAÑOS DE CALATRAVA;13260;CARRETERA CM 4124 KM. 25,7;1229;1129;0;0;E.S.MAZ;19
BOLAÑOS DE CALATRAVA;13260;CARDENAL CISNEROS, S/N;1229;1109;665;1429;CARBURANTES BOLAÑOS S.L.;19
BOLAÑOS DE CALATRAVA;13260;CALLE CTRA. C-417, PK. KM 17,, 17;1269;1158;0;1429;SARAS;19
BRAZATORTAS;13450;CR N-420 141,9;1305;1189;0;1429;REPSOL;19
BRAZATORTAS;13450;CARRETERA CABEZARRUBIAS KM. 1;1249;1129;709;0;UNIDAD DE SERVICIO;19
BRAZATORTAS;13450;CARRETERA NACIONAL 420 KM. 143,700;1309;1179;0;1439;GALP LA JUNQUERA;19
CALZADA DE CALATRAVA;13370;CARRETERA C-410 km 31.092;1299;1169;739;1389;P G E HIJOS;19
CAMPO DE CRIPTANA;13610;CARRETERA N-420 KM. 295;1299;1179;720;1359;COMBUSTIBLES CRIPTANA,SL;19
CAMPO DE CRIPTANA;13610;AVENIDA DE LA HISPANIDAD, 10;1305;1169;0;1365;PETRONOR;19
CAMPO DE CRIPTANA;13610;CARRETERA NACIONAL 420 KM. 292,700;1309;1189;0;1359;GALP DISTRIBUCION OIL ESPAÑA, S.A.U.;19
CAMPO DE CRIPTANA;13610;CALLE MOTA, 2;0;1059;0;0;TRAVESA;19
CAMPO DE CRIPTANA;13610;CR N-420, 296;1299;1179;0;0;REPSOL;19
CAMPO DE CRIPTANA;13610;CONCEPCION, 135 (CTRA. N-420);0;1084;669;0;BODEGAS SIMBOLO, SDAD. COOP. DE C-LM NTRA. SRA. DE CRIPTANA;19
CARRION DE CALATRAVA;13150;CARRETERA NACIONAL 430 KM. 317;1305;1179;0;1445;REPSOL;19
CARRION DE CALATRAVA;13150;CARRETERA CARRION A FERNANCABALLERO km 0.5;0;1063;669;0;MONTES NORTE ENERGETICOS, S.L.;19
CARRIZOSA;13329;CR CM-3129, 7 (CM-3129 km 11,6);1305;1179;0;1415;PETRONOR;19
CASTELLAR DE SANTIAGO;13750;CALLE BAILEN, 2;1309;1185;834;0;REPSOL;19
CHILLON;13412;CARRETERA ALMADEN-CHILLON KM. ;1309;1179;795;0;HGOIL;19
CIUDAD REAL;13005;CARRETERA N-430 KM KM. 305,1;1299;1179;0;1419;CEPSA;19
CIUDAD REAL;13004;AVENIDA EUROPA, 45;1020;1006;0;1029;EROSKI;19
CIUDAD REAL;13002;CARRETERA DE PORZUNA KM. ;1020;1006;0;1029;E.LECLERC;19
CIUDAD REAL;13197;CARRETERA CTRA PUERTOLLANO KM 195 KM. ;1259;1139;0;1437;SHELL;19
CIUDAD REAL;13005;CARRETERA NACIONAL 430 KM. 309,900;1279;1165;0;1459;SHELL CARRION;19
